text,label
"Urgent: Your account has been compromised. Verify now at http://secure-login.com","phishing"
"Final notice: Confirm your banking information today or your account will be closed","phishing"
"We detected unusual sign-in attempts. Reset your password immediately using this link","phishing"
"You have won a $500 gift card. Provide your details to claim your prize","phishing"
"Action required: Suspicious payment pending, sign in to cancel the transaction","phishing"
"Payroll department: Please review the attached invoice and wire the funds today","phishing"
"Security alert: Someone tried to access your mailbox. Confirm your identity","phishing"
"Office365 admin: update your password now to avoid losing access","phishing"
"Delivery problem: Package on hold. Pay customs fee here to release it","phishing"
"Tax refund available. Submit your details now to receive funds","phishing"
"IT support: We upgraded our VPN. Login with the temporary password attached","phishing"
"HR update: Download the new policy document and re-enter your credentials","phishing"
"Reminder: Team meeting tomorrow at 10 AM in the conference room","legitimate"
"Thanks for your help on the project, let's catch up next week","legitimate"
"Invoice for last month's services is attached for your review","legitimate"
"Welcome to the company! Here is your onboarding checklist","legitimate"
"Newsletter: Highlights from this quarter and upcoming events","legitimate"
"Your flight itinerary is confirmed. See details below","legitimate"
"Please review the draft presentation and send feedback by Friday","legitimate"
"System maintenance complete. All services are operating normally","legitimate"
"Lunch order confirmed for the leadership workshop on Tuesday","legitimate"
"Happy birthday! Wishing you a wonderful day from all of us","legitimate"
"Performance review scheduled for next Wednesday at 2 PM","legitimate"
"Company picnic details: RSVP by Friday if you plan to attend","legitimate"
